DEPARTURE: BOM ARRIVAL: DEL DATE OF DEPARTURE: 28/06/2023
flight_name,flight_cost,layover,departure_time
IndiGo,"₹ 5,859per traveller",1 stop via Vadodara,15:40
Vistara,"₹ 6,587per traveller",Non stop,22:20
SpiceJet,"₹ 4,755per traveller",Non stop,19:45
Vistara,"₹ 6,591per traveller",Non stop,21:55
Vistara,"₹ 6,591per traveller",Non stop,20:10
Vistara,"₹ 6,696per traveller",Non stop,22:40
Air India,"₹ 6,737per traveller",Non stop,21:00
Vistara,"₹ 7,442per traveller",Non stop,23:10
SpiceJet,"₹ 7,485per traveller",Non stop,16:00
Vistara,"₹ 7,494per traveller",Non stop,18:20
Vistara,"₹ 7,494per traveller",1 stop via Vadodara,15:45
Vistara,"₹ 7,599per traveller",Non stop,18:10
Air India,"₹ 7,892per traveller",Non stop,11:55
Akasa Air,"₹ 8,040per traveller",Non stop,13:55
SpiceJet,"₹ 8,115per traveller",Non stop,11:55
IndiGo,"₹ 8,330per traveller",Non stop,13:55
IndiGo,"₹ 8,439per traveller",1 stop via Vadodara,20:00
IndiGo,"₹ 8,439per traveller",Non stop,22:20
Vistara,"₹ 8,544per traveller",Non stop,06:00
IndiGo,"₹ 8,730per traveller",1 stop via Ahmedabad,08:05
IndiGo,"₹ 9,069per traveller",Non stop,05:15
IndiGo,"₹ 9,069per traveller",Non stop,09:00
IndiGo,"₹ 9,069per traveller",Non stop,15:45
AirAsia,"₹ 9,481per traveller",1 stop via Ahmedabad,18:10
SpiceJet,"₹ 9,691per traveller",Non stop,21:20
IndiGo,"₹ 9,699per traveller",Non stop,23:45
IndiGo,"₹ 9,699per traveller",Non stop,17:25
IndiGo,"₹ 9,699per traveller",1 stop via Jaipur,19:35
Akasa Air,"₹ 9,940per traveller",Non stop,20:40
Vistara,"₹ 10,067per traveller",Non stop,22:55
Vistara,"₹ 10,119per traveller",Non stop,18:30
Air India,"₹ 10,119per traveller",Non stop,20:40
Vistara,"₹ 10,245per traveller",Non stop,17:00
IndiGo,"₹ 10,539per traveller",Non stop,21:35
IndiGo,"₹ 10,539per traveller",Non stop,13:05
IndiGo,"₹ 10,539per traveller",Non stop,15:10
IndiGo,"₹ 10,539per traveller",1 stop via Ahmedabad,20:10
IndiGo,"₹ 10,539per traveller",Non stop,22:40
IndiGo,"₹ 10,539per traveller",Non stop,18:30
IndiGo,"₹ 11,377per traveller",Non stop,00:05+ 1 DAY
IndiGo,"₹ 11,379per traveller",Non stop,15:45
Air India,"₹ 11,589per traveller",Non stop,17:55
Air India,"₹ 11,694per traveller",Non stop,22:45
Air India,"₹ 11,694per traveller",1 stop via Ahmedabad,01:00+ 1 DAY
Air India,"₹ 11,694per traveller",Non stop,10:25
Air India,"₹ 11,694per traveller",1 stop via Pune,12:40
Vistara,"₹ 11,852per traveller",Non stop,16:05
Vistara,"₹ 11,852per traveller",Non stop,00:05+ 1 DAY
IndiGo,"₹ 12,219per traveller",Non stop,11:45
IndiGo,"₹ 12,681per traveller",Non stop,14:05
Air India,"₹ 12,816per traveller",Non stop,12:45
IndiGo,"₹ 13,059per traveller",Non stop,15:00
AirAsia,"₹ 13,079per traveller",Non stop,14:30
Air India,"₹ 13,794per traveller",1 stop via Ahmedabad,16:35
Air India,"₹ 13,794per traveller",1 stop via Aurangabad,21:25
Air India,"₹ 13,847per traveller",Non stop,07:20+ 1 DAY
Vistara,"₹ 14,130per traveller",1 stop via Goa - Dabolim Airport,09:05
Vistara,"₹ 18,729per traveller",Non stop,11:20
